SITE,DATE,EffTP,EffQ
ROGERS,2006-12-08,NA,11.0
ROGERS,2006-12-09,NA,10.5
ROGERS,2006-12-10,0.90,10.2
ROGERS,2006-12-11,0.46,10.6
ROGERS,2006-12-12,0.75,10.2
ROGERS,2006-12-13,1.20,9.8
ROGERS,2006-12-14,1.04,9.4
ROGERS,2006-12-15,NA,9.8
ROGERS,2006-12-16,NA,10.3
ROGERS,2006-12-17,0.42,8.8
ROGERS,2006-12-18,0.38,9.9
ROGERS,2006-12-19,1.15,10.1
ROGERS,2006-12-20,2.31,11.9
ROGERS,2006-12-21,1.86,11.8
ROGERS,2006-12-22,NA,10.5
ROGERS,2006-12-23,NA,9.4
ROGERS,2006-12-24,NA,8.1
ROGERS,2006-12-25,0.79,7.8
ROGERS,2006-12-26,0.95,9.7
ROGERS,2006-12-27,1.58,9.7
ROGERS,2006-12-28,2.48,9.9
ROGERS,2006-12-29,NA,10.2
ROGERS,2006-12-30,NA,14.4
ROGERS,2006-12-31,NA,12.3
ROGERS,2007-01-01,0.68,11.3
ROGERS,2007-01-02,1.04,11.3
ROGERS,2007-01-03,0.56,11.1
ROGERS,2007-01-04,0.60,10.9
ROGERS,2007-01-05,NA,10.4
ROGERS,2007-01-06,NA,9.9
ROGERS,2007-01-07,0.74,8.7
ROGERS,2007-01-08,0.74,9.3
ROGERS,2007-01-09,0.68,9.5
ROGERS,2007-01-10,1.01,10.6
ROGERS,2007-01-11,1.60,9.9
ROGERS,2007-01-12,NA,12.6
ROGERS,2007-01-13,NA,22.6
ROGERS,2007-01-14,0.58,23.5
ROGERS,2007-01-15,1.12,23.3
ROGERS,2007-01-16,3.11,18.7
ROGERS,2007-01-17,2.57,17.4
ROGERS,2007-01-18,0.56,13.4
ROGERS,2007-01-19,NA,10.0
ROGERS,2007-01-20,NA,9.3
ROGERS,2007-01-21,0.59,11.6
ROGERS,2007-01-22,0.48,11.4
ROGERS,2007-01-23,0.90,13.6
ROGERS,2007-01-24,2.22,16.6
ROGERS,2007-01-25,1.48,10.1
ROGERS,2007-01-26,NA,12.3
ROGERS,2007-01-27,NA,11.6
ROGERS,2007-01-28,0.59,11.1
ROGERS,2007-01-29,0.39,10.9
ROGERS,2007-01-30,0.38,9.2
ROGERS,2007-01-31,0.37,9.3
ROGERS,2007-02-01,0.36,9.0
ROGERS,2007-02-02,NA,9.2
ROGERS,2007-02-03,NA,9.2
ROGERS,2007-02-04,0.62,10.6
ROGERS,2007-02-05,0.66,11.4
ROGERS,2007-02-06,0.56,11.5
ROGERS,2007-02-07,0.57,10.9
ROGERS,2007-02-08,0.57,10.7
ROGERS,2007-02-09,NA,9.4
ROGERS,2007-02-10,NA,9.1
ROGERS,2007-02-11,1.70,9.5
ROGERS,2007-02-12,0.79,11.7
ROGERS,2007-02-13,0.92,21.8
ROGERS,2007-02-14,0.74,22.3
ROGERS,2007-02-15,0.74,18.7
ROGERS,2007-02-16,NA,10.6
ROGERS,2007-02-17,NA,9.5
ROGERS,2007-02-18,0.81,9.8
ROGERS,2007-02-19,0.53,10.1
ROGERS,2007-02-20,0.67,11.2
ROGERS,2007-02-21,0.50,10.9
ROGERS,2007-02-22,0.49,11.5
ROGERS,2007-02-23,NA,11.4
ROGERS,2007-02-24,NA,12.0
ROGERS,2007-02-25,0.66,8.9
ROGERS,2007-02-26,3.83,9.0
ROGERS,2007-02-27,5.55,11.1
ROGERS,2007-02-28,0.60,11.2
ROGERS,2007-03-01,0.48,11.0
ROGERS,2007-03-02,0.42,10.7
ROGERS,2007-03-03,NA,10.9
ROGERS,2007-03-04,0.43,10.0
ROGERS,2007-03-05,0.37,9.2
ROGERS,2007-03-06,0.35,9.2
ROGERS,2007-03-07,0.40,9.1
ROGERS,2007-03-08,0.69,9.4
ROGERS,2007-03-09,NA,9.9
ROGERS,2007-03-10,NA,9.4
ROGERS,2007-03-11,0.72,10.5
ROGERS,2007-03-12,1.77,9.9
ROGERS,2007-03-13,2.86,10.7
ROGERS,2007-03-14,3.47,10.9
ROGERS,2007-03-15,3.43,10.3
ROGERS,2007-03-16,NA,9.6
ROGERS,2007-03-17,NA,9.7
ROGERS,2007-03-18,0.75,8.5
ROGERS,2007-03-19,1.27,9.5
ROGERS,2007-03-20,2.44,10.0
ROGERS,2007-03-21,1.65,10.0
ROGERS,2007-03-22,2.80,8.4
ROGERS,2007-03-23,NA,10.2
ROGERS,2007-03-24,NA,10.7
ROGERS,2007-03-25,0.76,10.2
ROGERS,2007-03-26,0.64,9.5
ROGERS,2007-03-27,0.70,9.6
ROGERS,2007-03-28,0.54,11.0
ROGERS,2007-03-29,0.45,10.6
ROGERS,2007-03-30,NA,10.7
ROGERS,2007-03-31,NA,8.9
ROGERS,2007-04-01,0.31,10.8
ROGERS,2007-04-02,0.31,10.8
ROGERS,2007-04-03,0.49,11.0
ROGERS,2007-04-04,1.37,11.8
ROGERS,2007-04-05,5.49,12.0
ROGERS,2007-04-06,NA,10.2
ROGERS,2007-04-07,NA,10.2
ROGERS,2007-04-08,0.23,10.1
ROGERS,2007-04-09,0.19,11.2
ROGERS,2007-04-10,0.19,10.2
ROGERS,2007-04-11,0.29,12.6
ROGERS,2007-04-12,0.56,9.9
ROGERS,2007-04-13,NA,13.6
ROGERS,2007-04-14,NA,14.4
ROGERS,2007-04-15,0.90,12.0
ROGERS,2007-04-16,0.37,11.1
ROGERS,2007-04-17,0.26,11.3
ROGERS,2007-04-18,0.26,12.6
ROGERS,2007-04-19,0.26,12.8
ROGERS,2007-04-20,NA,10.4
ROGERS,2007-04-21,NA,10.6
ROGERS,2007-04-22,0.28,12.2
ROGERS,2007-04-23,0.23,12.6
ROGERS,2007-04-24,0.30,13.4
ROGERS,2007-04-25,0.33,13.5
ROGERS,2007-04-26,0.24,13.9
ROGERS,2007-04-27,NA,13.2
ROGERS,2007-04-28,NA,12.7
ROGERS,2007-04-29,0.26,10.5
ROGERS,2007-04-30,0.26,11.7
ROGERS,2007-05-01,0.28,12.2
ROGERS,2007-05-02,0.26,11.0
ROGERS,2007-05-03,0.30,11.1
ROGERS,2007-05-04,NA,11.3
ROGERS,2007-05-05,NA,11.2
ROGERS,2007-05-06,0.27,10.4
ROGERS,2007-05-07,0.28,12.4
ROGERS,2007-05-08,0.21,11.5
ROGERS,2007-05-09,0.25,11.8
ROGERS,2007-05-10,0.29,11.5
ROGERS,2007-05-11,NA,11.9
ROGERS,2007-05-12,NA,12.2
ROGERS,2007-05-13,0.99,10.2
ROGERS,2007-05-14,0.43,10.2
ROGERS,2007-05-15,0.27,13.6
ROGERS,2007-05-16,0.21,12.2
ROGERS,2007-05-17,0.22,11.4
ROGERS,2007-05-18,NA,11.2
ROGERS,2007-05-19,NA,11.0
ROGERS,2007-05-20,0.27,9.3
ROGERS,2007-05-21,0.30,10.8
ROGERS,2007-05-22,0.25,9.5
ROGERS,2007-05-23,0.28,10.5
ROGERS,2007-05-24,0.29,10.6
ROGERS,2007-05-25,NA,10.8
ROGERS,2007-05-26,NA,10.1
ROGERS,2007-05-27,0.41,8.9
ROGERS,2007-05-28,0.41,8.4
ROGERS,2007-05-29,0.33,10.5
ROGERS,2007-05-30,0.36,8.9
ROGERS,2007-05-31,0.42,9.1
ROGERS,2007-06-01,NA,11.8
ROGERS,2007-06-02,NA,13.0
ROGERS,2007-06-03,0.44,12.0
ROGERS,2007-06-04,0.47,13.9
ROGERS,2007-06-05,0.52,12.4
ROGERS,2007-06-06,0.39,9.3
ROGERS,2007-06-07,0.45,11.1
ROGERS,2007-06-08,NA,11.3
ROGERS,2007-06-09,NA,10.3
ROGERS,2007-06-10,0.44,8.6
ROGERS,2007-06-11,0.35,11.5
ROGERS,2007-06-12,0.52,11.1
ROGERS,2007-06-13,0.76,9.7
ROGERS,2007-06-14,0.59,9.8
ROGERS,2007-06-15,NA,10.9
ROGERS,2007-06-16,NA,9.4
ROGERS,2007-06-17,0.51,8.0
ROGERS,2007-06-18,0.52,10.3
ROGERS,2007-06-19,0.62,9.9
ROGERS,2007-06-20,0.67,10.2
ROGERS,2007-06-21,0.60,9.6
ROGERS,2007-06-22,NA,10.4
ROGERS,2007-06-23,NA,13.0
ROGERS,2007-06-24,1.97,9.5
ROGERS,2007-06-25,0.54,12.0
ROGERS,2007-06-26,0.30,11.8
ROGERS,2007-06-27,0.35,13.6
ROGERS,2007-06-28,0.31,13.0
ROGERS,2007-06-29,NA,13.1
ROGERS,2007-06-30,NA,11.7
ROGERS,2007-07-01,0.32,11.7
ROGERS,2007-07-02,0.24,11.8
ROGERS,2007-07-03,NA,12.1
ROGERS,2007-07-04,0.38,11.7
ROGERS,2007-07-05,0.30,12.2
ROGERS,2007-07-06,NA,11.4
ROGERS,2007-07-07,NA,10.3
ROGERS,2007-07-08,0.49,8.8
ROGERS,2007-07-09,0.42,9.7
ROGERS,2007-07-10,0.40,11.0
ROGERS,2007-07-11,0.28,10.5
ROGERS,2007-07-12,0.43,16.0
ROGERS,2007-07-13,NA,10.0
ROGERS,2007-07-14,NA,9.6
ROGERS,2007-07-15,0.43,9.3
ROGERS,2007-07-16,0.63,11.0
ROGERS,2007-07-17,1.09,9.6
ROGERS,2007-07-18,1.20,10.9
ROGERS,2007-07-19,1.40,9.8
ROGERS,2007-07-20,NA,10.0
ROGERS,2007-07-21,NA,9.8
ROGERS,2007-07-22,0.60,7.3
ROGERS,2007-07-23,0.70,9.3
ROGERS,2007-07-24,1.13,8.3
ROGERS,2007-07-25,0.98,9.2
ROGERS,2007-07-26,0.52,9.4
ROGERS,2007-07-27,NA,9.4
ROGERS,2007-07-28,NA,9.6
ROGERS,2007-07-29,0.59,8.4
ROGERS,2007-07-30,0.54,8.7
ROGERS,2007-07-31,0.59,8.7
ROGERS,2007-08-01,0.52,8.4
ROGERS,2007-08-02,0.41,10.5
ROGERS,2007-08-03,NA,10.0
ROGERS,2007-08-04,NA,10.7
ROGERS,2007-08-05,0.80,8.4
ROGERS,2007-08-06,0.73,10.2
ROGERS,2007-08-07,0.59,10.1
ROGERS,2007-08-08,0.57,9.6
ROGERS,2007-08-09,0.56,9.8
ROGERS,2007-08-10,NA,10.4
ROGERS,2007-08-11,NA,8.8
ROGERS,2007-08-12,0.77,7.4
ROGERS,2007-08-13,0.56,8.2
ROGERS,2007-08-14,0.58,9.8
ROGERS,2007-08-15,0.42,9.1
ROGERS,2007-08-16,0.41,8.8
ROGERS,2007-08-17,NA,8.2
ROGERS,2007-08-18,NA,8.2
ROGERS,2007-08-19,0.61,7.1
ROGERS,2007-08-20,0.47,9.8
ROGERS,2007-08-21,0.36,10.1
ROGERS,2007-08-22,0.36,8.9
ROGERS,2007-08-23,0.31,8.9
ROGERS,2007-08-24,NA,8.0
ROGERS,2007-08-25,NA,17.5
ROGERS,2007-08-26,0.66,10.5
ROGERS,2007-08-27,0.70,10.1
ROGERS,2007-08-28,0.40,8.9
ROGERS,2007-08-29,0.32,9.9
ROGERS,2007-08-30,0.30,9.6
ROGERS,2007-08-31,NA,9.0
ROGERS,2007-09-01,NA,8.4
ROGERS,2007-09-02,0.76,7.5
ROGERS,2007-09-03,0.64,8.9
ROGERS,2007-09-04,0.38,10.4
ROGERS,2007-09-05,0.26,12.3
ROGERS,2007-09-06,0.22,13.8
ROGERS,2007-09-07,NA,17.0
ROGERS,2007-09-08,NA,20.6
ROGERS,2007-09-09,0.64,17.7
ROGERS,2007-09-10,0.50,13.8
ROGERS,2007-09-11,0.55,13.9
ROGERS,2007-09-12,0.89,13.1
ROGERS,2007-09-13,0.48,13.7
ROGERS,2007-09-14,NA,11.4
ROGERS,2007-09-15,NA,9.9
ROGERS,2007-09-16,3.17,9.0
ROGERS,2007-09-17,0.97,9.4
ROGERS,2007-09-18,0.35,10.9
ROGERS,2007-09-19,0.25,10.9
ROGERS,2007-09-20,0.26,10.7
ROGERS,2007-09-21,NA,10.6
ROGERS,2007-09-22,NA,10.8
ROGERS,2007-09-23,0.92,10.4
ROGERS,2007-09-24,1.83,10.4
ROGERS,2007-09-25,0.98,11.5
ROGERS,2007-09-26,0.49,12.0
ROGERS,2007-09-27,0.29,10.4
ROGERS,2007-09-28,NA,10.0
ROGERS,2007-09-29,NA,9.2
ROGERS,2007-09-30,0.63,10.1
ROGERS,2007-10-01,0.45,9.6
ROGERS,2007-10-02,0.39,14.3
ROGERS,2007-10-03,0.53,23.0
ROGERS,2007-10-04,0.31,15.0
ROGERS,2007-10-05,NA,11.2
ROGERS,2007-10-06,NA,11.0
ROGERS,2007-10-07,0.62,10.2
ROGERS,2007-10-08,0.41,13.3
ROGERS,2007-10-09,0.28,12.1
ROGERS,2007-10-10,0.47,10.8
ROGERS,2007-10-11,0.25,10.9
ROGERS,2007-10-12,NA,10.0
ROGERS,2007-10-13,NA,10.0
ROGERS,2007-10-14,0.34,9.7
ROGERS,2007-10-15,0.28,11.1
ROGERS,2007-10-16,0.31,12.0
ROGERS,2007-10-17,0.40,12.7
ROGERS,2007-10-18,0.45,11.5
ROGERS,2007-10-19,NA,10.9
ROGERS,2007-10-20,NA,8.9
ROGERS,2007-10-21,0.94,8.4
ROGERS,2007-10-22,0.41,11.0
ROGERS,2007-10-23,0.34,12.3
ROGERS,2007-10-24,0.28,12.3
ROGERS,2007-10-25,0.28,11.8
ROGERS,2007-10-26,NA,10.9
ROGERS,2007-10-27,NA,8.8
ROGERS,2007-10-28,0.30,9.9
ROGERS,2007-10-29,0.25,10.2
ROGERS,2007-10-30,0.26,10.7
ROGERS,2007-10-31,0.25,9.2
ROGERS,2007-11-01,0.22,9.0
ROGERS,2007-11-02,NA,9.9
ROGERS,2007-11-03,NA,11.5
ROGERS,2007-11-04,0.25,10.2
ROGERS,2007-11-05,0.34,10.6
ROGERS,2007-11-06,0.22,10.5
ROGERS,2007-11-07,0.67,10.3
ROGERS,2007-11-08,0.54,10.2
ROGERS,2007-11-09,NA,9.4
ROGERS,2007-11-10,NA,9.3
ROGERS,2007-11-11,NA,9.1
ROGERS,2007-11-12,0.68,9.8
ROGERS,2007-11-13,0.67,11.1
ROGERS,2007-11-14,0.53,10.9
ROGERS,2007-11-15,0.28,10.7
ROGERS,2007-11-16,NA,10.4
ROGERS,2007-11-17,NA,9.6
ROGERS,2007-11-18,0.87,8.5
ROGERS,2007-11-19,0.50,9.3
ROGERS,2007-11-20,0.37,10.4
ROGERS,2007-11-21,NA,10.1
ROGERS,2007-11-22,NA,9.3
ROGERS,2007-11-23,NA,7.8
ROGERS,2007-11-24,NA,8.1
ROGERS,2007-11-25,0.42,8.8
ROGERS,2007-11-26,0.24,9.7
ROGERS,2007-11-27,0.24,11.1
ROGERS,2007-11-28,0.44,10.5
ROGERS,2007-11-29,0.28,9.4
ROGERS,2007-11-30,NA,9.3
ROGERS,2007-12-01,NA,9.2
ROGERS,2007-12-02,0.44,9.1
ROGERS,2007-12-03,0.29,9.7
ROGERS,2007-12-04,0.24,9.7
ROGERS,2007-12-05,0.32,9.8
ROGERS,2007-12-06,0.31,9.4
ROGERS,2007-12-07,NA,10.6
ROGERS,2007-12-08,NA,9.3
ROGERS,2007-12-09,0.48,9.5
ROGERS,2007-12-10,0.42,16.7
ROGERS,2007-12-11,0.26,17.9
ROGERS,2007-12-12,0.46,13.7
ROGERS,2007-12-13,0.35,15.1
ROGERS,2007-12-14,NA,15.4
ROGERS,2007-12-15,NA,15.5
ROGERS,2007-12-16,0.27,13.0
ROGERS,2007-12-17,0.20,12.6
ROGERS,2007-12-18,0.28,10.3
ROGERS,2007-12-19,0.25,12.5
ROGERS,2007-12-20,0.33,10.6
ROGERS,2007-12-21,NA,11.1
ROGERS,2007-12-22,NA,10.3
ROGERS,2007-12-23,NA,8.9
ROGERS,2007-12-24,NA,8.3
ROGERS,2007-12-25,0.22,12.0
ROGERS,2007-12-26,0.16,9.0
ROGERS,2007-12-27,0.15,10.7
ROGERS,2007-12-28,NA,10.0
ROGERS,2007-12-29,NA,10.1
ROGERS,2007-12-30,0.26,9.1
ROGERS,2007-12-31,NA,8.5
ROGERS,2008-01-01,0.25,7.7
ROGERS,2008-01-02,0.18,8.4
ROGERS,2008-01-03,0.22,9.0
ROGERS,2008-01-04,NA,10.6
ROGERS,2008-01-05,NA,10.7
ROGERS,2008-01-06,0.50,9.1
ROGERS,2008-01-07,0.26,10.2
ROGERS,2008-01-08,0.22,11.6
ROGERS,2008-01-09,0.21,11.3
ROGERS,2008-01-10,0.28,10.4
ROGERS,2008-01-11,NA,11.0
ROGERS,2008-01-12,NA,10.6
ROGERS,2008-01-13,0.18,9.4
ROGERS,2008-01-14,0.18,10.5
ROGERS,2008-01-15,0.24,10.5
ROGERS,2008-01-16,0.24,9.3
ROGERS,2008-01-17,0.24,9.7
ROGERS,2008-01-18,NA,10.2
ROGERS,2008-01-19,NA,9.3
ROGERS,2008-01-20,0.20,9.7
ROGERS,2008-01-21,0.23,9.9
ROGERS,2008-01-22,0.33,9.9
ROGERS,2008-01-23,0.27,10.7
ROGERS,2008-01-24,0.26,10.7
ROGERS,2008-01-25,NA,9.1
ROGERS,2008-01-26,NA,9.1
ROGERS,2008-01-27,0.29,9.8
ROGERS,2008-01-28,0.33,10.4
ROGERS,2008-01-29,0.24,10.8
ROGERS,2008-01-30,0.21,11.1
ROGERS,2008-01-31,0.25,10.9
ROGERS,2008-02-01,NA,10.9
ROGERS,2008-02-02,NA,11.0
ROGERS,2008-02-03,0.24,10.2
ROGERS,2008-02-04,0.28,10.4
ROGERS,2008-02-05,0.35,12.6
ROGERS,2008-02-06,0.27,12.9
ROGERS,2008-02-07,0.28,12.3
ROGERS,2008-02-08,NA,12.4
ROGERS,2008-02-09,NA,12.2
ROGERS,2008-02-10,0.35,10.8
ROGERS,2008-02-11,0.77,11.2
ROGERS,2008-02-12,0.40,12.4
ROGERS,2008-02-13,0.35,12.8
ROGERS,2008-02-14,0.42,11.3
ROGERS,2008-02-15,NA,13.1
ROGERS,2008-02-16,NA,18.2
ROGERS,2008-02-17,NA,26.1
ROGERS,2008-02-18,1.34,20.1
ROGERS,2008-02-19,0.35,18.2
ROGERS,2008-02-20,0.35,19.5
ROGERS,2008-02-21,0.34,20.6
ROGERS,2008-02-22,NA,20.0
ROGERS,2008-02-23,NA,20.1
ROGERS,2008-02-24,0.33,15.0
ROGERS,2008-02-25,0.43,13.5
ROGERS,2008-02-26,0.47,12.9
ROGERS,2008-02-27,0.56,12.5
ROGERS,2008-02-28,0.50,11.6
ROGERS,2008-02-29,NA,11.1
ROGERS,2008-03-01,NA,11.5
ROGERS,2008-03-02,0.66,12.4
ROGERS,2008-03-03,0.52,19.0
ROGERS,2008-03-04,0.42,18.6
ROGERS,2008-03-05,0.60,19.6
ROGERS,2008-03-06,0.64,18.4
ROGERS,2008-03-07,NA,18.4
ROGERS,2008-03-08,NA,11.9
ROGERS,2008-03-09,0.55,10.9
ROGERS,2008-03-10,0.39,12.0
ROGERS,2008-03-11,0.42,12.2
ROGERS,2008-03-12,0.51,11.9
ROGERS,2008-03-13,0.51,11.3
ROGERS,2008-03-14,NA,11.2
ROGERS,2008-03-15,NA,10.4
ROGERS,2008-03-16,0.43,10.6
ROGERS,2008-03-17,0.41,11.6
ROGERS,2008-03-18,1.31,40.0
ROGERS,2008-03-19,1.06,40.0
ROGERS,2008-03-20,1.21,30.7
ROGERS,2008-03-21,NA,21.8
ROGERS,2008-03-22,NA,17.4
ROGERS,2008-03-23,0.31,13.4
ROGERS,2008-03-24,0.26,13.1
ROGERS,2008-03-25,0.37,13.9
ROGERS,2008-03-26,0.58,13.1
ROGERS,2008-03-27,1.05,12.4
ROGERS,2008-03-28,NA,11.9
ROGERS,2008-03-29,NA,11.2
ROGERS,2008-03-30,0.38,11.1
ROGERS,2008-03-31,0.62,17.4
ROGERS,2008-04-01,0.53,26.8
ROGERS,2008-04-02,1.85,27.0
ROGERS,2008-04-03,3.54,19.6
ROGERS,2008-04-04,NA,19.9
ROGERS,2008-04-05,NA,15.0
ROGERS,2008-04-06,0.26,13.7
ROGERS,2008-04-07,0.30,14.7
ROGERS,2008-04-08,1.10,20.2
ROGERS,2008-04-09,1.33,23.8
ROGERS,2008-04-10,1.55,42.7
ROGERS,2008-04-11,NA,28.9
ROGERS,2008-04-12,NA,25.8
ROGERS,2008-04-13,0.31,24.8
ROGERS,2008-04-14,0.25,22.4
ROGERS,2008-04-15,0.25,19.1
ROGERS,2008-04-16,0.62,14.1
ROGERS,2008-04-17,0.67,14.8
ROGERS,2008-04-18,NA,16.6
ROGERS,2008-04-19,NA,15.8
ROGERS,2008-04-20,0.54,14.2
ROGERS,2008-04-21,0.60,13.3
ROGERS,2008-04-22,1.24,16.6
ROGERS,2008-04-23,1.30,21.4
ROGERS,2008-04-24,0.49,26.2
ROGERS,2008-04-25,NA,24.9
ROGERS,2008-04-26,NA,22.4
ROGERS,2008-04-27,0.32,20.6
ROGERS,2008-04-28,0.74,15.3
ROGERS,2008-04-29,2.30,15.1
ROGERS,2008-04-30,3.73,11.6
ROGERS,2008-05-01,4.21,17.5
ROGERS,2008-05-02,NA,13.0
ROGERS,2008-05-03,NA,12.7
ROGERS,2008-05-04,1.90,11.1
ROGERS,2008-05-05,0.95,12.2
ROGERS,2008-05-06,1.03,13.9
ROGERS,2008-05-07,2.17,16.0
ROGERS,2008-05-08,2.05,14.8
ROGERS,2008-05-09,NA,13.4
ROGERS,2008-05-10,NA,13.2
ROGERS,2008-05-11,1.05,11.9
ROGERS,2008-05-12,1.30,13.5
ROGERS,2008-05-13,2.15,14.7
ROGERS,2008-05-14,2.68,14.2
ROGERS,2008-05-15,1.87,18.3
ROGERS,2008-05-16,NA,16.5
ROGERS,2008-05-17,NA,15.5
ROGERS,2008-05-18,1.25,13.1
ROGERS,2008-05-19,1.58,13.3
ROGERS,2008-05-20,1.34,13.0
ROGERS,2008-05-21,2.17,13.0
ROGERS,2008-05-22,3.16,11.6
ROGERS,2008-05-23,NA,13.4
ROGERS,2008-05-24,NA,12.2
ROGERS,2008-05-25,NA,11.2
ROGERS,2008-05-26,0.88,15.8
ROGERS,2008-05-27,1.26,19.9
ROGERS,2008-05-28,1.19,14.4
ROGERS,2008-05-29,0.65,12.2
ROGERS,2008-05-30,NA,13.6
ROGERS,2008-05-31,NA,14.2
ROGERS,2008-06-01,1.44,16.0
ROGERS,2008-06-02,1.49,14.9
ROGERS,2008-06-03,1.67,13.3
ROGERS,2008-06-04,2.27,13.0
ROGERS,2008-06-05,2.20,13.5
ROGERS,2008-06-06,NA,15.1
ROGERS,2008-06-07,NA,12.7
ROGERS,2008-06-08,0.74,12.8
ROGERS,2008-06-09,0.43,21.4
ROGERS,2008-06-10,0.55,14.7
ROGERS,2008-06-11,0.77,13.9
ROGERS,2008-06-12,1.62,13.2
ROGERS,2008-06-13,NA,15.8
ROGERS,2008-06-14,NA,15.7
ROGERS,2008-06-15,1.79,17.0
ROGERS,2008-06-16,1.13,19.1
ROGERS,2008-06-17,1.31,17.1
ROGERS,2008-06-18,1.43,14.2
ROGERS,2008-06-19,1.23,12.5
ROGERS,2008-06-20,NA,13.4
ROGERS,2008-06-21,NA,12.1
ROGERS,2008-06-22,1.80,10.9
ROGERS,2008-06-23,0.98,13.6
ROGERS,2008-06-24,0.58,13.0
ROGERS,2008-06-25,0.57,12.8
ROGERS,2008-06-26,0.51,12.7
ROGERS,2008-06-27,NA,11.3
ROGERS,2008-06-28,NA,20.4
ROGERS,2008-06-29,0.14,17.2
ROGERS,2008-06-30,0.22,12.7
ROGERS,2008-07-01,0.20,12.4
ROGERS,2008-07-02,0.21,13.5
ROGERS,2008-07-03,NA,13.7
ROGERS,2008-07-04,NA,17.7
ROGERS,2008-07-05,NA,19.2
ROGERS,2008-07-06,0.30,18.5
ROGERS,2008-07-07,0.32,21.2
ROGERS,2008-07-08,0.24,22.7
ROGERS,2008-07-09,0.22,23.0
ROGERS,2008-07-10,0.35,23.3
ROGERS,2008-07-11,NA,16.3
ROGERS,2008-07-12,NA,19.0
ROGERS,2008-07-13,0.40,19.5
ROGERS,2008-07-14,0.31,17.2
ROGERS,2008-07-15,0.28,14.5
ROGERS,2008-07-16,0.32,15.1
ROGERS,2008-07-17,0.39,14.4
ROGERS,2008-07-18,NA,13.9
ROGERS,2008-07-19,NA,12.4
ROGERS,2008-07-20,0.67,11.9
ROGERS,2008-07-21,0.37,13.0
ROGERS,2008-07-22,0.23,13.4
ROGERS,2008-07-23,0.20,13.5
ROGERS,2008-07-24,0.15,14.6
ROGERS,2008-07-25,NA,14.1
ROGERS,2008-07-26,NA,11.7
ROGERS,2008-07-27,0.22,11.6
ROGERS,2008-07-28,0.17,12.1
ROGERS,2008-07-29,0.16,12.3
ROGERS,2008-07-30,0.21,13.7
ROGERS,2008-07-31,0.19,14.1
ROGERS,2008-08-01,NA,12.5
ROGERS,2008-08-02,NA,12.4
ROGERS,2008-08-03,0.64,11.7
ROGERS,2008-08-04,0.40,12.5
ROGERS,2008-08-05,0.35,11.9
ROGERS,2008-08-06,0.23,13.7
ROGERS,2008-08-07,0.27,14.5
ROGERS,2008-08-08,NA,12.5
ROGERS,2008-08-09,NA,16.9
ROGERS,2008-08-10,0.39,24.5
ROGERS,2008-08-11,0.25,20.4
ROGERS,2008-08-12,0.30,18.0
ROGERS,2008-08-13,0.20,13.3
ROGERS,2008-08-14,0.18,13.9
ROGERS,2008-08-15,NA,17.1
ROGERS,2008-08-16,NA,15.4
ROGERS,2008-08-17,0.24,14.9
ROGERS,2008-08-18,0.24,15.5
ROGERS,2008-08-19,0.39,13.5
ROGERS,2008-08-20,0.25,14.2
ROGERS,2008-08-21,0.31,13.2
ROGERS,2008-08-22,NA,13.5
ROGERS,2008-08-23,NA,12.9
ROGERS,2008-08-24,0.36,11.8
ROGERS,2008-08-25,0.37,13.1
ROGERS,2008-08-26,0.81,10.7
ROGERS,2008-08-27,0.53,14.4
ROGERS,2008-08-28,0.67,12.4
ROGERS,2008-08-29,NA,12.5
ROGERS,2008-08-30,NA,13.0
ROGERS,2008-08-31,NA,10.5
ROGERS,2008-09-01,0.81,11.2
ROGERS,2008-09-02,0.44,15.9
ROGERS,2008-09-03,0.35,26.9
ROGERS,2008-09-04,1.27,25.6
ROGERS,2008-09-05,NA,21.3
ROGERS,2008-09-06,NA,23.8
ROGERS,2008-09-07,0.47,18.5
ROGERS,2008-09-08,0.54,19.4
ROGERS,2008-09-09,0.33,15.7
ROGERS,2008-09-10,0.55,17.5
ROGERS,2008-09-11,0.46,14.4
ROGERS,2008-09-12,NA,13.9
ROGERS,2008-09-13,NA,17.9
ROGERS,2008-09-14,2.17,20.4
ROGERS,2008-09-15,0.21,18.9
ROGERS,2008-09-16,0.25,19.4
ROGERS,2008-09-17,0.29,19.9
ROGERS,2008-09-18,0.33,20.0
ROGERS,2008-09-19,NA,20.2
ROGERS,2008-09-20,NA,13.3
ROGERS,2008-09-21,0.26,12.9
ROGERS,2008-09-22,0.20,13.5
ROGERS,2008-09-23,0.21,13.7
ROGERS,2008-09-24,0.38,13.6
ROGERS,2008-09-25,0.27,13.0
ROGERS,2008-09-26,NA,11.6
ROGERS,2008-09-27,NA,12.7
ROGERS,2008-09-28,0.23,12.4
ROGERS,2008-09-29,0.24,12.6
ROGERS,2008-09-30,NA,13.5
ROGERS,2008-10-01,0.24,12.8
ROGERS,2008-10-02,0.21,12.7
ROGERS,2008-10-03,NA,12.4
ROGERS,2008-10-04,NA,12.5
ROGERS,2008-10-05,0.38,11.6
ROGERS,2008-10-06,0.51,17.0
ROGERS,2008-10-07,0.72,17.1
ROGERS,2008-10-08,2.39,8.8
ROGERS,2008-10-09,1.05,18.4
ROGERS,2008-10-10,NA,16.1
ROGERS,2008-10-11,NA,13.2
ROGERS,2008-10-12,0.77,11.5
